X,Y,amenity,operator,name,drive_through,addr:country,addr:state,addr:street,brand,opening_hours,addr:housenumber,addr:city,addr:postcode,fee,indoor,atm,currency:USD,inside,website,wheelchair,language:en,language:es,man_made,max_transaction,min_transaction
-76.608752,39.3724489,atm,,M&T Bank,,US,MD,York Road,,,6317,Govans,21212,,,,,,www.mtb.com,,,,,,
-76.544948,38.7932797,atm,,M&T Bank,,,,,,,,,,,yes,,,,,,,,,,
-77.0977355,38.981917,atm,,M&T Bank,,,,,,,,,,,,,,,,,,,,,
-76.813334,39.098702,atm,,M&T Bank,,,,,,,,,,,,,,,,,,,,,
-76.4114067,39.3348239,atm,,M&T Bank,,,,,,,,,,,,,,,,,,,,,
-76.601738,39.282661,atm,,M&T Bank,,,,,,,,,,,,,,,,,,,,,
-76.9176663,38.628614,atm,,Navy Federal Credit Union,,,,,,,,,,,,,,,,,,,,,
-75.0523063,38.4474833,atm,,Taylor Bank,,,,,,,,,,,,yes,,,,,,,,,
-77.032277,38.99388,atm,,Wells Fargo,,,,,,,,,,,,,,,,,,,,,
-76.75411,39.283222,atm,,Wells Fargo,,,,,,,,,,,,,,,,,,,,,
-76.7400244,38.4442353,atm,,,yes,,,,,,,,,,,,,,,,,,,,
-77.3977925,39.4478626,atm,,,yes,,,,,,,,,,,,,,,,,,,,
-76.0664256,38.5641048,atm,,,,,MD,East Cedar Street,SECU,,3,Cambridge,21601,,,yes,,,,,,,,,
-75.0566052,38.4262963,atm,,,,,,Coastal Highway,,,12001,,,,,,,,,,,,,,
-77.6227673,39.3245271,atm,,,,,,,BB&T,,,,,,,,,,,,,,,,
-76.531437,38.7068896,atm,,,,,,,,24/7,,,,,,,,,,,,,,,
-76.6355413,39.4549661,atm,,,,,,,,,,,,1.50,,,,,,,,,,,
-76.881809,39.1950916,atm,,,,,,,,,,,,3.00,,,,,,,,,,200,20
-76.5461955,38.7922717,atm,,,,,,,,,,,,,,,,yes,,,,,,,
-75.0558715,38.4271522,atm,,,,,,,,,,,,,,,,,,,,,,,
-75.0540958,38.4351588,atm,,,,,,,,,,,,,,,,,,,,,,,
-75.0548792,38.4342727,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.0661132,38.5609589,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.0642581,38.5615342,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.0624057,38.5652183,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.0666584,38.5627326,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.598767,38.5571406,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.8500264,38.6973976,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.5384457,38.8157233,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.7735581,38.9058682,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.7729111,38.9074078,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.7718717,38.9088041,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.7744627,38.9091287,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.9389101,38.9639931,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.9378889,38.9865839,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.9464427,38.9914797,atm,,,,,,,,,,,,,,,,,,,,,,,
-77.0169286,38.7844537,atm,,,,,,,,,,,,,,,,,,,,,,,
-77.0923161,38.9845867,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.065208,39.0445411,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.5848395,39.0007537,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.5845214,39.081819,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.5845697,39.0818378,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.5848492,39.0820668,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.9108508,39.0110065,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.7211648,39.1528242,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.7425145,39.1553205,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.6814812,39.160324,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.6816156,39.1602872,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.8710644,39.2136935,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.6182758,39.2937996,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.7129732,39.2544927,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.6322778,39.445843,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.6316156,39.4476977,atm,,,,,,,,,,,,,,,,,,,,,,,
-77.2060591,39.1440083,atm,,,,,,,,,,,,,,,,,,,,,,,
-77.3978366,39.4476214,atm,,,,,,,,,,,,,,,,,,,,,,,
-76.851083,39.6065594,atm,,,,,,,,,,,,,,,,,,,,,,,
